fecha,tasa_cetes,inflacion,pib,ln_tc,td,ln_ipc,ln_actvindustrial,ln_inpp,ahorro,ln_export,ln_import,inversion
ene-13,0.0415,0.0325,0.02276,2.54234,0.05407,10.72058,4.59656,4.35684,0.2356,10.21459,10.31404,-0.0061
feb-13,0.0419,0.0355,0.01458,2.54784,0.0475,10.69469,4.56641,4.36347,0.2327,10.2782,10.27733,-0.0055
mar-13,0.0398,0.0425,0.0064,2.51456,0.04475,10.6937,4.58467,4.36321,0.2297,10.36842,10.3132,-0.0615
abr-13,0.0382,0.0465,0.01122,2.49697,0.04961,10.65168,4.60444,4.35678,0.2296,10.39602,10.43669,0.0183
may-13,0.0372,0.0463,0.01604,2.54972,0.0491,10.63557,4.62958,4.35598,0.2295,10.39956,10.41348,-0.0227
jun-13,0.0378,0.0409,0.02086,2.56709,0.04999,10.6121,4.59156,4.36265,0.2294,10.34459,10.31454,-0.0536
jul-13,0.0385,0.0347,0.01878,2.55306,0.05131,10.61737,4.61143,4.36073,0.2255,10.38134,10.4238,-0.0536
ago-13,0.0384,0.0346,0.0167,2.59088,0.05183,10.58386,4.62332,4.36036,0.2217,10.39444,10.40129,-0.0508
sep-13,0.0364,0.0339,0.01462,2.5783,0.05305,10.60125,4.58845,4.36499,0.2178,10.35385,10.33288,-0.0693
oct-13,0.0339,0.0336,0.0138,2.56546,0.05009,10.62227,4.65252,4.36162,0.2196,10.46546,10.46929,-0.0435
nov-13,0.0339,0.0362,0.01297,2.57338,0.04484,10.65724,4.62287,4.36115,0.2213,10.36323,10.35342,-0.0615
dic-13,0.0329,0.0397,0.01215,2.57141,0.04266,10.66259,4.58707,4.36632,0.2231,10.3754,10.32355,0.0144
ene-14,0.0314,0.0448,0.01748,2.59353,0.05068,10.61839,4.60634,4.3714,0.2263,10.20553,10.31671,-0.0394
feb-14,0.0316,0.0423,0.02281,2.58308,0.04661,10.56573,4.58012,4.38005,0.2296,10.32422,10.29362,-0.0187
mar-14,0.0317,0.0376,0.02814,2.56916,0.04796,10.60811,4.6393,4.38069,0.2328,10.41167,10.38243,0.0509
abr-14,0.0323,0.035,0.02653,2.57186,0.04851,10.61427,4.61212,4.3819,0.2268,10.43588,10.42115,-0.0184
may-14,0.0328,0.0351,0.02493,2.55419,0.04942,10.63013,4.65453,4.3846,0.2208,10.44505,10.44147,0.0018
jun-14,0.0302,0.0375,0.02332,2.56273,0.04815,10.66282,4.63368,4.38227,0.2148,10.4174,10.40579,0.0563
jul-14,0.0283,0.0407,0.0251,2.58225,0.0547,10.68779,4.63712,4.38351,0.2156,10.42487,10.45423,0.0184
ago-14,0.0277,0.0415,0.02687,2.5708,0.05188,10.72828,4.63322,4.38542,0.2164,10.41292,10.44824,0.0326
